,id,name,cost,position,home_team,away_team,kickoff_time,is_home
152,147,Edouard Mendy,50,GKP,Everton,Chelsea,2022-08-06T16:30:00Z,False
153,148,Conor Gallagher,60,MID,Everton,Chelsea,2022-08-06T16:30:00Z,False
154,149,Billy Gilmour,45,MID,Everton,Chelsea,2022-08-06T16:30:00Z,False
155,150,Armando Broja,55,FWD,Everton,Chelsea,2022-08-06T16:30:00Z,False
156,151,Ethan Ampadu,45,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,False
157,304,Raheem Sterling,100,MID,Everton,Chelsea,2022-08-06T16:30:00Z,False
158,520,Kalidou Koulibaly,55,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,False
159,152,Vicente Guaita,45,GKP,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
160,153,James Tomkins,40,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
161,154,James McArthur,50,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
162,155,Christian Benteke,55,FWD,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
163,156,Joel Ward,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
164,157,Nathaniel Clyne,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
165,158,Luka Milivojevic,45,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
166,159,Jordan Ayew,55,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
167,160,Wilfried Zaha,70,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
168,161,Jeffrey Schlupp,50,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
169,162,Jack Butland,45,GKP,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
170,163,Will Hughes,50,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
171,164,Jairo Riedewald,45,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
172,165,Joachim Andersen,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
173,166,Odsonne Edouard,55,FWD,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
174,167,Marc Guéhi,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
175,168,Jean-Philippe Mateta,55,FWD,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
176,169,Eberechi Eze,55,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
177,170,Tyrick Mitchell,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
178,171,Michael Olise,55,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
179,172,Jesurun Rak-Sakyi,45,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
180,173,Malcolm Ebiowei,45,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
181,174,Nathan Ferguson,40,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
182,175,Sam Johnstone,45,GKP,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
183,495,Remi Matthews,40,GKP,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
184,496,Luke Plange,45,FWD,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
185,514,Cheick Doucouré,50,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,True
186,176,Asmir Begović,40,GKP,Everton,Chelsea,2022-08-06T16:30:00Z,True
187,177,Salomón Rondón,50,FWD,Everton,Chelsea,2022-08-06T16:30:00Z,True
188,178,Seamus Coleman,45,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,True
189,179,Andros Townsend,55,MID,Everton,Chelsea,2022-08-06T16:30:00Z,True
190,180,Michael Keane,45,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,True
191,181,Dele Alli,55,MID,Everton,Chelsea,2022-08-06T16:30:00Z,True
192,182,Jordan Pickford,45,GKP,Everton,Chelsea,2022-08-06T16:30:00Z,True
193,183,Allan Marques Loureiro,50,MID,Everton,Chelsea,2022-08-06T16:30:00Z,True
194,184,André Tavares Gomes,45,MID,Everton,Chelsea,2022-08-06T16:30:00Z,True
195,185,Abdoulaye Doucouré,55,MID,Everton,Chelsea,2022-08-06T16:30:00Z,True
196,186,Alex Iwobi,55,MID,Everton,Chelsea,2022-08-06T16:30:00Z,True
197,187,Jean-Philippe Gbamin,45,MID,Everton,Chelsea,2022-08-06T16:30:00Z,True
198,188,Yerry Mina,45,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,True
199,189,Demarai Gray,55,MID,Everton,Chelsea,2022-08-06T16:30:00Z,True
200,190,Tom Davies,50,MID,Everton,Chelsea,2022-08-06T16:30:00Z,True
201,191,Dominic Calvert-Lewin,80,FWD,Everton,Chelsea,2022-08-06T16:30:00Z,True
202,192,Mason Holgate,45,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,True
203,193,Ben Godfrey,45,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,True
204,194,Vitalii Mykolenko,45,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,True
205,195,Anthony Gordon,55,MID,Everton,Chelsea,2022-08-06T16:30:00Z,True
206,196,Jarrad Branthwaite,40,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,True
207,197,Nathan Patterson,40,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,True
208,198,Niels Nkounkou,40,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,True
209,199,James Tarkowski,45,DEF,Everton,Chelsea,2022-08-06T16:30:00Z,True
210,200,Tom Cairney,50,MID,Fulham,Liverpool,2022-08-06T11:30:00Z,True
211,201,Tim Ream,45,DEF,Fulham,Liverpool,2022-08-06T11:30:00Z,True
212,202,Anthony Knockaert,50,MID,Fulham,Liverpool,2022-08-06T11:30:00Z,True
213,203,Nathaniel Chalobah,45,MID,Fulham,Liverpool,2022-08-06T11:30:00Z,True
214,204,Neeskens Kebano,55,MID,Fulham,Liverpool,2022-08-06T11:30:00Z,True
215,205,Bobby De Cordova-Reid,55,MID,Fulham,Liverpool,2022-08-06T11:30:00Z,True
216,206,Joe Bryan,45,DEF,Fulham,Liverpool,2022-08-06T11:30:00Z,True
217,207,Paulo Gazzaniga Farias,40,GKP,Fulham,Liverpool,2022-08-06T11:30:00Z,True
218,208,Terence Kongolo,40,DEF,Fulham,Liverpool,2022-08-06T11:30:00Z,True
219,209,Tosin Adarabioyo,45,DEF,Fulham,Liverpool,2022-08-06T11:30:00Z,True
